Slate ID,YOG,App Grade,Res Status,Person Sex,Person Academic Interests,Person Extra-Curricular Interest,Sport1,Sport2,Sport3,City,State/Region,Country,School,Person Race,Person Hispanic,Guide Profile,Student Profile
700063075,2028,9,Boarding,F,Science,Dance,,,,Beaumont,TX,United States,John P. Odom Academy,Asian,No,N/A,N/A
673817249,2028,9,Boarding,M,Math,Athletics,Soccer,,,New York,NY,United States,Trevor Day School,Asian,No,N/A,N/A
552154364,2027,10,Boarding,M,Math,Student Government,Swimming and Diving,,,Saint Petersburg,FL,United States,Shorecrest Preparatory School,White,No,N/A,N/A
790917090,2027,10,Day,F,History,Experiential Education,Cross Country,,,Lawrenceville,NJ,United States,Stuart Country Day School of the Sacred Heart,White,No,N/A,N/A
